embedding,labels
"[0.24705882 0.49019608 0.78431374 Ellipsis 0.11372549 0.20392157
 0.40392157]",[  0 137 470]
[0.6039216 0.28627452 0.6666667 Ellipsis 1.0 0.93333334 0.13725491],[185 186]
[0.26666668 0.29803923 0.4627451 Ellipsis 0.44705883 0.14901961 1.0],[  0 137 345]
"[0.46666667 0.40784314 0.34117648 Ellipsis 0.32156864 0.14901961
 0.01960784]",[300 339]
"[0.45490196 0.2784314  0.7490196  0.41960785 0.74509805 0.3647059
 0.25882354 0.39607844 0.67058825 0.6901961  0.2627451  0.30588236
 0.70980394 0.29803923 0.37254903 0.5137255  0.5137255  0.34901962
 0.62352943 0.62352943 0.36862746 0.7294118  0.28235295 0.3254902
 0.39607844 0.49803922 0.5176471  0.23921569 0.46666667 0.4392157
 0.46666667 0.2901961  0.53333336 0.69803923 0.7254902  0.01568628
 0.73333335 0.6509804  0.43137255 0.19215687 0.627451   0.49019608
 0.627451   0.8862745  0.38431373 0.27058825 0.20392157 0.
 0.4745098  0.6666667  0.6745098  0.62352943 0.5372549  0.6431373
 0.5529412  0.50980395 0.36862746 0.65882355 0.37254903 0.63529414
 0.8117647  0.04313726 0.23921569 0.83137256 0.39215687 0.5411765
 0.67058825 0.23137255 0.28627452 0.57254905 0.34117648 0.3137255
 0.28235295 0.7176471  0.3764706  0.81960785 0.49803922 0.53333336
 0.50980395 0.68235296 0.70980394 0.49803922 0.5372549  0.27450982
 0.6        0.36078432 0.20392157 0.4862745  0.27450982 0.29803923
 0.80784315 0.28235295 0.28235295 0.34509805 0.5411765  0.7921569
 0.6745098  0.09019608 0.08627451 0.7019608  0.         0.19607843
 0.38039216 0.36078432 0.7607843  0.49803922 0.5921569  0.5764706
 0.38039216 0.15294118 1.         0.36862746 0.8509804  0.18039216
 0.69803923 0.5764706  0.44705883 0.7294118  0.57254905 0.12156863
 0.20784314 0.58431375 0.3529412  0.6862745  0.         0.7490196
 0.7647059  0.34117648 0.30980393 0.27058825 0.6039216  0.4745098
 0.5647059  0.39215687 0.09019608 0.2509804  0.88235295 0.4392157
 0.15686275 0.31764707 0.7254902  0.79607844 0.31764707 0.52156866
 0.3647059  0.14117648 0.5254902  0.8901961  0.4        0.6039216
 0.44313726 0.62352943 0.5921569  0.49019608 1.         0.18431373
 0.47843137 0.28627452 0.30588236 0.57254905 1.         0.59607846
 0.7490196  0.26666668 0.8627451  0.79607844 0.24705882 0.04313726
 0.63529414 0.19215687 0.11764706 0.6627451  0.65882355 0.18431373
 0.73333335 0.03137255 0.6156863  0.6509804  0.30588236 0.43137255
 0.         0.68235296 0.49411765 0.24313726 0.37254903 0.7294118
 0.80784315 0.93333334 0.28627452 0.57254905 0.6666667  0.42352942
 1.         0.38431373 0.78431374 0.6431373  0.29803923 0.67058825
 1.         0.43529412 0.77254903 0.6666667  0.         1.
 0.8235294  0.10196079 0.19607843 1.         0.28235295 0.92156863
 0.4509804  0.         0.8901961  0.32156864 0.08235294 0.84313726
 0.10588235 0.41960785 0.972549   1.         0.72156864 0.5647059
 1.         0.41568628 0.49411765 0.         0.26666668 1.
 0.5921569  0.2627451  0.4862745  0.8784314  0.7019608  0.22352941
 0.         0.61960787 0.26666668 0.         1.         0.7294118
 0.6862745  0.47058824 0.45490196 0.25882354 1.         0.6627451
 0.16470589 0.5019608  0.18431373 0.01568628 0.14117648 0.74509805
 0.25490198 0.52156866 0.30980393 0.01176471 0.4        0.19215687
 0.6        0.41960785 0.68235296 0.36862746 0.1254902  0.32156864
 0.8        0.54509807 0.35686275 0.2509804  0.6039216  0.67058825
 0.46666667 0.3764706  0.39607844 0.3647059  0.54509807 0.7529412
 0.5254902  0.49411765 0.45490196 0.5254902  0.59607846 0.4862745
 0.9490196  0.3372549  0.3647059  0.32156864 0.37254903 0.6117647
 0.9411765  0.57254905 0.6392157  0.3254902  0.8        0.654902
 0.4509804  0.22745098 0.65882355 0.22745098 0.3764706  0.6666667
 0.60784316 0.21176471 0.5372549  0.19607843 0.41960785 0.40392157
 0.46666667 0.47843137 0.         0.5686275  0.5686275  0.22745098
 0.4117647  0.68235296 0.41568628 0.8980392  0.4862745  0.43529412
 0.654902   0.48235294 0.8117647  0.42745098 0.59607846 0.54901963
 0.3529412  0.59607846 0.972549   0.5411765  0.9843137  0.9254902
 0.00392157 0.8627451  0.60784316 0.45882353 0.6039216  0.9254902
 0.41568628 0.75686276 0.7254902  0.         0.47058824 0.1764706
 0.03529412 0.8980392  0.28235295 0.2901961  0.5254902  0.7882353
 0.6392157  0.56078434 0.5686275  0.4862745  0.1764706  0.24313726
 0.15294118 0.8352941  0.90588236 0.1882353  0.38431373 0.24705882
 0.28235295 0.39215687 0.19215687 0.5568628  0.7490196  0.11764706
 1.         0.83137256 0.6        0.63529414 0.53333336 0.3019608
 0.6862745  0.6431373  0.15294118 0.5803922  0.1882353  0.43529412
 0.34117648 0.8901961  0.34509805 0.6784314  0.34509805 0.4392157
 0.3019608  0.2784314  0.6313726  0.43137255 0.54901963 0.32941177
 0.32156864 0.25490198 0.94509804 0.38431373 0.11372549 0.20392157
 0.8235294  0.64705884 0.2627451  0.3137255  0.41960785 0.27450982
 0.6862745  0.90588236 0.49803922 0.5764706  0.7137255  0.5411765
 0.33333334 0.3529412  0.9843137  0.02745098 0.4862745  0.
 0.         0.46666667 1.         0.5529412  0.91764706 0.24313726
 0.91764706 0.56078434 0.34901962 0.16470589 0.21176471 0.49411765
 0.09411765 0.81960785 0.68235296 0.03137255 0.6666667  0.16470589
 0.52156866 0.8        0.2509804  0.62352943 0.         0.5176471
 0.5921569  0.46666667 0.52156866 0.5019608  0.6666667  0.94509804
 0.12941177 0.27450982 0.4392157  0.41960785 0.85882354 0.28627452
 1.         0.45490196 0.43137255 0.9411765  0.8156863  0.34509805
 0.7254902  0.58431375 0.         0.7372549  0.4        0.36078432
 0.28627452 1.         0.2784314  0.92941177 0.47843137 0.02745098
 0.8117647  0.46666667 0.20784314 0.87058824 0.10980392 0.
 0.1882353  1.         0.46666667 0.5568628  0.65882355 0.52156866
 0.2901961  0.50980395 0.64705884 0.7921569  0.2901961  0.5294118
 0.78039217 0.63529414 0.5411765  0.47843137 0.05882353 0.4392157
 0.56078434 0.13333334 0.8235294  0.16470589 0.2784314  0.6901961
 0.43137255 0.5176471  0.8235294  0.827451   0.         0.10980392
 0.22745098 0.05490196 0.10588235 0.84705883 0.         0.17254902
 0.92941177 0.         0.39215687 0.4        0.6901961  0.43137255
 0.34509805 0.4509804  0.64705884 0.         1.         0.67058825
 0.         0.31764707 0.27450982 0.62352943 0.29803923 0.40784314
 0.18431373 0.32941177 0.6392157  0.70980394 0.78431374 0.56078434
 1.         0.827451   0.         0.95686275 0.3882353  0.22745098
 0.3764706  0.16862746 0.1764706  0.4862745  0.7058824  0.5176471
 0.8745098  0.60784316 0.         0.         0.40392157 0.5647059
 0.         0.69411767 0.21176471 0.67058825 0.57254905 0.5411765
 0.52156866 1.         0.41568628 0.6666667  0.5019608  0.8980392
 0.         0.48235294 0.45882353 0.5019608  0.44313726 0.43137255
 0.12156863 0.00392157 0.6509804  0.6627451  0.8235294  0.5647059
 0.32941177 0.00784314 0.10980392 0.58431375 0.09411765 0.8509804
 0.62352943 0.9882353  0.13333334 0.29411766 0.5176471  0.08627451
 0.21568628 0.5176471  0.8627451  0.34901962 0.61960787 0.21176471
 0.4        0.25882354 0.7882353  0.83137256 0.47058824 0.39607844
 0.6117647  0.19607843 0.47843137 0.5686275  0.13333334 0.627451
 0.4627451  0.52156866 1.         1.         1.         0.29803923
 0.11764706 0.9372549  0.6313726  0.5058824  0.54509807 1.
 0.8666667  0.40784314 0.         0.44313726 0.1764706  0.2509804
 0.654902   0.07058824 0.         0.         0.6745098  1.
 1.         0.01176471 0.         0.01176471 0.34117648 0.9137255
 1.         0.5686275  0.972549   0.         0.3764706  0.48235294
 0.6666667  0.69411767 0.48235294 0.5647059  0.29803923 0.
 1.         0.5372549  0.34509805 0.6117647  1.         0.75686276
 0.         0.4392157  0.2627451  0.09411765 0.8352941  0.44313726
 0.6627451  0.46666667 0.6784314  0.5372549  0.         0.5294118
 0.35686275 0.44705883 0.34901962 0.34117648 0.20784314 0.21176471
 0.5882353  0.6784314  0.6117647  0.8352941  0.76862746 0.43137255
 0.22352941 0.23921569 0.         0.43137255 0.5294118  0.70980394
 0.6039216  0.25882354 0.4392157  0.80784315 0.03921569 1.
 0.49019608 0.68235296 1.         0.15686275 0.14901961 0.5529412
 0.3529412  0.41568628 0.8980392  0.         0.20784314 0.34509805
 0.6        0.41568628 0.5294118  0.10588235 0.48235294 0.99607843
 0.40392157 1.         0.74509805 0.10980392 0.21176471 0.
 0.99607843 0.4745098  0.3647059  0.04313726 0.12156863 0.01568628
 0.5529412  0.62352943 0.41960785 0.16470589 1.         0.4
 0.5058824  0.6039216  0.42745098 0.2627451  0.76862746 0.42352942
 0.         0.34509805 0.         0.4392157  0.69411767 0.6666667
 0.8980392  0.5764706  0.         0.6117647  0.72156864 1.
 1.         0.         0.21960784 0.25490198 0.85490197 1.
 0.10588235 0.         0.         0.4392157  0.         0.6431373
 0.5372549  1.         1.         0.         0.02745098 0.22745098
 0.654902   0.13725491 0.3764706  0.972549   0.8235294  0.16078432
 0.28627452 0.2784314  0.77254903 0.42352942 0.42745098 0.45490196
 0.40392157 0.04705882 0.8509804  0.72156864 0.24705882 0.32941177
 0.84705883 0.78431374 0.03529412 0.40392157 0.3529412  0.
 0.8901961  0.54901963 0.40784314 0.34509805 0.42352942 0.7921569
 0.         0.77254903 0.19215687 0.37254903 0.5882353  0.6039216
 0.43529412 0.         0.40784314 0.34901962 0.4862745  0.43137255
 0.49411765 0.27058825 0.5921569  0.12156863 0.         0.32156864
 0.85882354 0.78431374 0.6627451  0.3372549  0.5254902  0.89411765
 0.         1.         0.64705884 0.8666667  0.47843137 0.25490198
 0.5568628  0.73333335 0.5647059  0.34117648 0.3882353  0.13725491
 0.         0.28235295 0.7137255  0.70980394 0.5058824  0.1254902
 0.3137255  0.6        0.6745098  0.6039216  1.         0.44313726
 0.41960785 0.23529412 0.36078432 0.0627451  0.2509804  0.46666667
 0.5803922  0.68235296 0.         0.6392157  0.5568628  0.23137255
 1.         0.03529412 0.5882353  0.6901961  0.29411766 0.4
 0.7882353  0.78039217 0.3647059  0.5294118  0.         0.4117647
 0.5372549  1.         0.76862746 0.64705884 0.         1.
 1.         0.2784314  1.         0.44313726 0.47058824 0.
 0.35686275 0.6627451  0.         0.30980393 0.         0.27058825
 0.         0.4509804  0.2509804  0.76862746 0.15294118 0.
 0.2        0.09803922 0.39607844 0.         0.53333336 0.6156863
 0.92156863 0.        ]",[  0 318]
"[0.57254905 0.69803923 0.70980394 Ellipsis 0.05882353 0.75686276
 0.23137255]",[ 35 137]
[0.13333334 0.33333334 0.67058825 Ellipsis 0.01176471 0.0 0.9372549],[72 73 74 82]
[0.38039216 0.25882354 0.4509804 Ellipsis 0.0 0.81960785 1.0],[415]
[0.0 0.60784316 0.45490196 Ellipsis 0.54509807 0.0 0.2627451],[438]
[0.23529412 0.7921569 0.48235294 Ellipsis 0.5568628 0.6313726 0.43529412],[  0 297]
"[0.60784316 0.29803923 0.54509807 0.5254902  0.4862745  0.05882353
 0.6117647  0.47843137 0.7019608  0.4627451  0.67058825 0.42745098
 0.15294118 0.3647059  0.38431373 0.88235295 0.69411767 0.0627451
 0.6431373  0.88235295 0.39215687 0.60784316 0.8509804  0.5529412
 0.4627451  0.50980395 0.4392157  0.52156866 0.29411766 0.58431375
 1.         0.70980394 0.3882353  0.42352942 0.48235294 0.49803922
 0.7764706  0.5803922  0.5529412  0.36862746 0.5764706  0.4627451
 0.7294118  0.68235296 0.627451   0.61960787 0.30588236 0.5176471
 0.16078432 0.9764706  0.30980393 0.4745098  0.33333334 0.2509804
 0.7254902  0.6627451  0.68235296 0.69411767 0.5647059  0.30588236
 0.5411765  0.5137255  0.4392157  0.68235296 0.5019608  0.40392157
 0.60784316 0.16078432 0.40392157 0.59607846 0.67058825 0.6627451
 0.17254902 0.6431373  0.5372549  0.9647059  0.19215687 0.5764706
 0.5411765  0.41960785 0.4509804  0.61960787 0.3647059  0.83137256
 0.40784314 0.37254903 0.44705883 0.43529412 0.48235294 0.25490198
 0.45882353 0.15686275 0.09019608 0.7647059  1.         0.4392157
 0.16078432 0.43529412 0.14117648 0.8627451  0.49803922 0.5019608
 0.4392157  0.49803922 0.42745098 0.89411765 0.46666667 0.87058824
 1.         0.3764706  0.5372549  0.3882353  0.7176471  0.
 0.28627452 0.2784314  0.56078434 0.72156864 0.9372549  0.32156864
 0.17254902 0.28235295 0.01568628 0.5058824  0.78431374 0.92156863
 0.49411765 0.85490197 0.5882353  0.5176471  0.4627451  0.2901961
 0.3137255  0.         0.47058824 0.8745098  0.7372549  0.3372549
 0.827451   0.38431373 0.04705882 0.34117648 0.68235296 0.6392157
 1.         0.5568628  0.6392157  0.6862745  0.81960785 0.27450982
 0.6431373  0.3882353  0.6862745  0.21568628 0.4117647  0.6313726
 0.24313726 0.5803922  1.         0.38039216 0.9764706  0.8235294
 0.9647059  0.34509805 0.8862745  0.8117647  0.6666667  0.6666667
 0.9098039  0.12941177 0.4862745  0.42352942 0.7372549  0.4627451
 0.1254902  0.6666667  0.30980393 0.59607846 0.4117647  0.28235295
 0.03921569 0.21568628 0.4392157  0.49803922 0.8117647  0.8235294
 0.38431373 0.36862746 0.5882353  0.07450981 0.654902   0.9098039
 0.81960785 0.42352942 0.26666668 0.11764706 0.16862746 0.5176471
 0.74509805 0.         0.         0.21176471 0.62352943 0.8235294
 0.         0.6392157  0.5294118  0.64705884 0.42745098 0.28235295
 0.7882353  0.5372549  0.45882353 0.38039216 0.14117648 0.6039216
 0.54901963 0.38431373 0.7647059  0.10588235 0.3372549  0.38039216
 1.         0.60784316 0.3764706  1.         0.24313726 0.5529412
 0.54509807 0.4117647  0.78039217 0.46666667 0.3764706  0.
 0.17254902 0.39215687 0.5254902  0.         0.18039216 0.50980395
 0.24313726 0.         0.65882355 0.21960784 1.         0.23529412
 1.         0.6392157  0.43529412 0.43529412 0.20784314 0.
 0.4862745  1.         0.4745098  0.8392157  0.54901963 0.44705883
 0.39215687 0.40784314 0.33333334 0.         0.68235296 0.80784315
 0.7411765  0.07058824 0.7607843  0.37254903 0.22352941 0.5372549
 0.627451   0.8980392  0.95686275 0.40784314 0.49019608 0.65882355
 0.6745098  0.3647059  0.6392157  0.6862745  0.57254905 0.2
 0.5764706  0.49411765 0.6862745  0.50980395 1.         0.49803922
 0.63529414 0.83137256 0.31764707 0.5529412  0.8901961  0.33333334
 0.56078434 0.3647059  0.5411765  0.14509805 0.42745098 0.34117648
 0.6039216  0.69411767 0.24313726 0.44313726 0.05882353 0.3764706
 0.4117647  0.10196079 0.3529412  0.08235294 0.61960787 0.78039217
 0.6901961  0.7764706  0.23921569 0.5647059  0.3529412  0.65882355
 0.42352942 0.92156863 0.33333334 0.6        0.29803923 0.36862746
 0.3529412  0.44705883 1.         0.13725491 0.         0.4
 0.9372549  0.4        0.         0.7137255  0.31764707 0.7254902
 0.8352941  0.5921569  0.6431373  0.49803922 0.627451   0.1764706
 0.6627451  0.87058824 0.3137255  0.62352943 0.73333335 0.31764707
 0.14117648 0.4        1.         0.30588236 0.24313726 0.62352943
 0.5019608  0.78431374 0.39607844 0.5019608  0.79607844 0.39607844
 1.         0.         0.38039216 0.94509804 0.4117647  0.29803923
 0.14509805 0.56078434 0.40784314 0.04705882 0.05098039 0.1254902
 0.9490196  0.3254902  0.96862745 0.5176471  0.23921569 0.20392157
 0.3254902  0.3529412  0.64705884 0.54509807 0.70980394 0.44705883
 0.69411767 0.40784314 0.76862746 0.37254903 0.42745098 0.01568628
 0.6039216  0.6745098  0.49019608 0.72156864 0.87058824 0.3882353
 0.28627452 0.17254902 0.46666667 0.54509807 0.91764706 0.3882353
 0.8666667  0.79607844 0.4509804  0.8039216  0.3372549  0.4627451
 0.4627451  0.7764706  0.6509804  0.13333334 0.2627451  0.28235295
 0.84705883 0.59607846 0.8666667  0.50980395 0.83137256 0.28235295
 0.7176471  0.8235294  0.76862746 0.27058825 0.7921569  0.40784314
 0.21568628 0.21960784 0.49803922 0.64705884 0.22745098 0.23921569
 0.19215687 0.64705884 0.85490197 0.85490197 0.11764706 0.2784314
 0.21176471 0.21960784 0.8        0.5058824  0.07450981 0.96862745
 1.         0.49803922 0.32156864 0.43137255 0.5647059  0.7647059
 0.42352942 0.07843138 0.19215687 0.5294118  0.78431374 0.14117648
 0.3764706  1.         0.04705882 0.654902   0.43529412 0.4627451
 0.38039216 0.19607843 0.4117647  0.7921569  0.64705884 0.2901961
 0.7921569  0.5176471  0.1254902  0.17254902 0.7764706  0.02745098
 1.         0.73333335 0.12156863 0.11764706 1.         0.83137256
 0.36862746 0.4862745  0.78039217 0.72156864 0.3254902  0.92941177
 0.21176471 0.39607844 0.25490198 0.6745098  0.37254903 0.41960785
 0.85490197 0.11764706 0.72156864 0.76862746 0.39215687 0.6117647
 1.         0.         1.         0.4862745  0.4509804  0.2
 0.8392157  0.31764707 0.         0.99607843 0.5294118  0.00784314
 0.50980395 0.30588236 0.627451   0.20784314 0.5568628  0.41568628
 0.5254902  0.43137255 0.5254902  0.54901963 0.69803923 0.5882353
 0.38039216 0.36862746 0.35686275 0.44313726 0.5372549  0.32156864
 0.32156864 0.47843137 0.4        0.63529414 0.5647059  0.4862745
 0.4        0.4117647  0.52156866 0.74509805 0.5058824  0.65882355
 0.43137255 0.8352941  0.24313726 0.5372549  0.5411765  0.5176471
 0.54509807 0.36078432 0.5019608  0.19607843 0.49019608 0.2627451
 0.5764706  0.68235296 0.7490196  0.627451   0.63529414 0.2627451
 0.4        0.30588236 0.73333335 0.39215687 0.3764706  0.83137256
 0.7019608  0.74509805 0.74509805 0.4627451  0.42352942 0.61960787
 0.08235294 0.16078432 0.7607843  0.44313726 0.40784314 0.83137256
 0.1764706  0.7176471  0.6313726  0.2901961  0.62352943 0.9372549
 0.09411765 0.9098039  0.6392157  0.627451   0.53333336 0.5254902
 0.35686275 0.6627451  0.92941177 0.         0.7490196  0.38431373
 0.67058825 0.56078434 0.20392157 0.6862745  0.5764706  0.20392157
 0.6745098  0.6901961  0.77254903 0.50980395 0.         0.45882353
 0.79607844 0.00392157 0.4392157  0.41960785 0.3529412  0.5686275
 0.07450981 0.4509804  0.2901961  0.22352941 0.47058824 0.0627451
 0.5803922  0.54901963 0.         0.44705883 0.4117647  0.36862746
 0.4392157  0.52156866 0.68235296 0.48235294 0.37254903 0.04705882
 0.5764706  0.34509805 0.03529412 0.3137255  1.         0.5294118
 0.39215687 0.41960785 0.34117648 0.4627451 ]",[137 524]
[0.40784314 0.65882355 0.7294118 Ellipsis 0.44705883 0.654902 1.0],[ 0 72 87 88 89]
[0.18431373 0.34117648 0.9607843 Ellipsis 0.67058825 0.49019608 0.37254903],[427 431]
[0.38431373 0.13333334 0.6627451 Ellipsis 0.35686275 0.68235296 0.75686276],[441 443 470]
[0.34117648 1.0 0.07058824 Ellipsis 0.8156863 0.0 0.41960785],[135 489]
[0.72156864 0.5294118 0.6431373 Ellipsis 0.15686275 0.0 0.0],[137 138 139 140 143 146]
[0.4627451 0.38039216 0.59607846 Ellipsis 0.20784314 0.03529412 1.0],[132 133]
[0.29803923 0.23921569 0.8352941 Ellipsis 0.09803922 0.0 0.52156866],[ 0 15]
[0.43529412 0.4509804 0.20784314 Ellipsis 1.0 0.57254905 0.6745098],[137 159 239 242]
[0.4627451 0.20392157 0.7921569 Ellipsis 1.0 0.44705883 0.5529412],[402]
[0.3137255 0.22352941 0.4862745 Ellipsis 0.0 0.09803922 0.8392157],[471]
[0.7058824 0.23921569 0.47843137 Ellipsis 0.0 0.12156863 0.8117647],[ 72  87  88  89 137]
[0.32156864 0.29803923 0.72156864 Ellipsis 0.49803922 0.8509804 0.63529414],[126 127]
[0.07058824 0.34509805 0.6117647 Ellipsis 0.16862746 0.58431375 0.6745098],[137 211 510]
[0.6392157 0.19215687 0.49019608 Ellipsis 0.14901961 0.3372549 0.8],[137 441]
[0.3254902 0.3019608 0.8 Ellipsis 0.0 0.5921569 0.78039217],[496 515]
[0.23137255 0.13725491 0.6 Ellipsis 0.0 0.0 0.78431374],[ 0 53]
[0.4509804 0.14117648 0.8666667 Ellipsis 0.40392157 0.0 0.54901963],[0 2 5]
[0.25490198 0.68235296 0.8862745 Ellipsis 0.81960785 1.0 1.0],[ 0 72 95]
[0.81960785 0.7137255 0.9411765 Ellipsis 0.2901961 0.0 0.12941177],[137 505]
[0.19215687 0.49019608 0.58431375 Ellipsis 0.34509805 0.23137255 0.9490196],[72 73 74 75 78]
[0.3137255 0.21568628 0.6431373 Ellipsis 0.44313726 0.5176471 0.54509807],[  0 521]
[0.3254902 0.29411766 0.827451 Ellipsis 0.88235295 0.21568628 0.26666668],[ 0 22]
[0.46666667 0.23921569 0.8745098 Ellipsis 0.2627451 0.8039216 0.8156863],[483 484]
[0.03137255 0.9490196 0.16078432 Ellipsis 0.5568628 0.22352941 0.72156864],[  0 453]
[0.20392157 0.44313726 0.6313726 Ellipsis 1.0 0.9764706 0.8352941],[  0 359]
[0.3019608 0.42352942 0.81960785 Ellipsis 0.21960784 0.40784314 0.8156863],[366]
[0.4117647 0.42745098 0.41568628 Ellipsis 0.5411765 0.6509804 0.62352943],[521]
[0.5882353 0.6901961 0.19607843 Ellipsis 0.22745098 0.74509805 0.28235295],[137 180 182]
[0.0 1.0 0.0 Ellipsis 0.8627451 0.7921569 0.29411766],[  0 300 338]
[0.50980395 0.50980395 0.5137255 Ellipsis 1.0 1.0 0.0],[421 437]
[0.38431373 0.41960785 0.5411765 Ellipsis 0.44705883 0.0 0.17254902],[  0 471]
[0.3764706 0.27058825 0.87058824 Ellipsis 0.47843137 0.6 0.0],[366]
[0.31764707 0.41568628 0.5294118 Ellipsis 1.0 1.0 0.0],[  0 460]
[0.4 0.5176471 0.3254902 Ellipsis 0.39607844 0.85490197 0.32941177],[469]
[0.40784314 0.41960785 0.45882353 Ellipsis 0.6901961 0.35686275 0.0],[300 307 473]
[0.0 0.8784314 0.0 Ellipsis 0.52156866 0.18431373 0.27450982],[7]
[0.42745098 0.4509804 0.49411765 Ellipsis 1.0 1.0 0.30980393],[322 324 396]
[0.27058825 0.21176471 0.54901963 Ellipsis 0.27450982 0.54509807 1.0],[ 0 54]
[0.43137255 0.46666667 0.6313726 Ellipsis 0.34117648 0.05490196 0.6392157],[ 42  72  74 137]
[0.36862746 0.49019608 0.45490196 Ellipsis 1.0 1.0 0.02352941],[490]
[0.11764706 0.69803923 0.3764706 Ellipsis 0.7137255 0.7137255 0.24313726],[  0 299]
[0.31764707 0.5176471 0.8509804 Ellipsis 0.57254905 0.8980392 0.8235294],[ 0 72 73 81 85]
"[0.14117648 0.57254905 0.96862745 Ellipsis 0.52156866 0.50980395
 0.73333335]",[  0 354 357]
[0.60784316 0.9764706 0.62352943 Ellipsis 0.54901963 0.8627451 0.4745098],[300 335 336 340]
[0.02745098 1.0 0.0 Ellipsis 0.36078432 0.7882353 1.0],[437 439]
[0.3647059 0.25882354 0.84705883 Ellipsis 0.7254902 0.92941177 0.8745098],[ 0 59]
[0.7764706 0.5803922 0.0 Ellipsis 0.0 0.0 0.45882353],[137 226 235 274]
[0.44313726 0.5019608 0.5411765 Ellipsis 0.9254902 0.2784314 1.0],[  0 137 525]
[0.54509807 0.57254905 0.1882353 Ellipsis 0.69803923 0.0 0.0],[  0 137 342]
[0.14901961 0.972549 0.08627451 Ellipsis 0.81960785 0.7607843 0.84313726],[478]
[0.08235294 1.0 0.0 Ellipsis 1.0 1.0 0.0],[328 329 330 332]
[0.23529412 0.49019608 0.61960787 Ellipsis 0.9098039 0.38431373 0.0],[301 303]
[0.7921569 0.4117647 0.5647059 Ellipsis 0.45882353 0.5882353 0.9137255],[117 118 137]
[0.34117648 0.57254905 0.3529412 Ellipsis 0.0 0.08235294 1.0],[  0 137 420 509]
[0.41960785 0.24313726 0.6784314 Ellipsis 0.30588236 0.33333334 0.75686276],[  0 518]
[0.31764707 0.19607843 0.827451 Ellipsis 0.3137255 1.0 0.36078432],[  0 480]
[0.34117648 0.3647059 0.83137256 Ellipsis 0.7411765 0.05098039 0.5254902],[  0  61 506]
[0.19607843 0.5764706 0.29803923 Ellipsis 0.26666668 0.49411765 0.7058824],[301 304]
[0.36862746 0.20392157 0.5882353 Ellipsis 0.79607844 0.67058825 1.0],[43 72 73 74]
[0.36078432 0.1764706 0.5764706 Ellipsis 0.0 0.7882353 0.5764706],[94]
[0.5372549 0.11764706 0.5647059 Ellipsis 0.2627451 0.0 0.52156866],[391]
[0.6156863 0.8666667 0.7372549 Ellipsis 0.7882353 0.8862745 0.4392157],[ 27 137 261]
[0.0 0.40392157 0.5137255 Ellipsis 0.6509804 0.3137255 0.20392157],[514]
[0.2901961 0.36862746 0.5882353 Ellipsis 0.04313726 0.70980394 0.7137255],[364 365]
[0.64705884 0.3137255 0.6117647 Ellipsis 0.37254903 0.34901962 0.8627451],[  0 392]
[0.3529412 0.2784314 0.80784315 Ellipsis 0.4509804 1.0 0.44705883],[  0 392]
[0.3254902 0.37254903 0.6666667 Ellipsis 0.2784314 0.5882353 0.0],[50]
[0.78431374 0.37254903 0.3529412 Ellipsis 0.83137256 0.7019608 0.34509805],[137 279]
[0.5137255 0.3372549 0.5411765 Ellipsis 0.96862745 0.6 1.0],[ 32 137]
[0.75686276 0.32941177 0.23529412 Ellipsis 0.8039216 0.41960785 1.0],[137 251]
[0.78431374 0.6117647 0.65882355 Ellipsis 0.0 0.0 0.20784314],[137 215 474 506]
[0.16470589 0.5568628 0.6 Ellipsis 0.0 0.10196079 0.0],[293]
[0.654902 0.31764707 0.54509807 Ellipsis 0.5647059 0.0 0.64705884],[ 24 137]
[0.38431373 0.14509805 0.5058824 Ellipsis 0.654902 1.0 0.7490196],[  0 372 450]
[0.5176471 0.25490198 0.7647059 Ellipsis 1.0 1.0 0.84705883],[ 34 137]
[0.15294118 0.70980394 0.19215687 Ellipsis 0.8980392 0.5529412 1.0],[288 454]
[0.3372549 0.61960787 0.12941177 Ellipsis 0.0 0.9843137 0.0],[  0 412]
[0.14117648 0.6627451 0.59607846 Ellipsis 0.20784314 0.9372549 0.15686275],[419]
[0.4 0.7058824 0.99215686 Ellipsis 0.2509804 0.654902 0.0],[ 0 68]
[0.5764706 0.6627451 0.6431373 Ellipsis 1.0 0.5529412 0.4392157],[483 484]
[0.8627451 0.74509805 0.4117647 Ellipsis 0.34117648 0.6509804 1.0],[209]
[0.6862745 0.3647059 0.1882353 Ellipsis 0.60784316 0.9372549 0.13725491],[137 272]
[0.6156863 0.85490197 0.98039216 Ellipsis 0.46666667 0.7490196 0.03921569],[  0  52 137]
[0.7176471 0.35686275 0.47843137 Ellipsis 0.46666667 0.63529414 0.9137255],[225]
[0.21568628 0.23921569 0.5568628 Ellipsis 1.0 0.34117648 0.09019608],[0 5]
[0.23921569 0.2901961 0.64705884 Ellipsis 0.13725491 1.0 0.23921569],[124]
[0.3764706 0.49411765 0.4627451 Ellipsis 0.9372549 0.5176471 0.3372549],[437 439 468]
[0.20784314 0.1882353 0.6901961 Ellipsis 0.69411767 0.8784314 0.28235295],[ 0 19 21]
[0.46666667 0.4627451 0.7058824 Ellipsis 0.52156866 0.50980395 0.73333335],[  0 137 466]
[0.21568628 0.5372549 0.5058824 Ellipsis 0.17254902 0.0 0.9843137],[486]
[0.8352941 0.43529412 0.4392157 Ellipsis 0.14117648 0.5294118 1.0],[225]
[0.2627451 0.3137255 0.6431373 Ellipsis 0.24705882 0.4745098 0.0],[4]
